trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-75.44134639279042,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",35,0,-195.81348186756392,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-104.33419858431043,"{0: 11, 1: 9, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-62.23556661086916,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-95.85703597971249,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-154.76776770844143,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-199.4899376309733,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-179.27161020866052,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-45.86293575551192,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-110.01423223817228,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-110.1505354796686,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-88.68223068376622,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-75.11100671946268,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",35,0,-177.0909972379164,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-191.3731916580501,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 4}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-117.44461504995229,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-138.70283398517756,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-100.82583622034576,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-67.65119756693394,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-144.60543380334013,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-75.3406788097324,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-215.32803540598803,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,13,-20.680793070257334,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",30,0,-117.2446479807784,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-56.427575741053126,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,10,-50.59329039879294,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-124.92934065948798,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-88.32278097115754,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,7,-82.19094024511631,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",35,0,-103.54978015594664,"{0: 26, 1: 1, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-104.06522393720807,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-85.16359819228751,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-90.65861922865906,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-180.93601171647606,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",35,18,-84.90842916708786,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,4,-78.12436378144491,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-184.65395409799206,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-101.67357864786584,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-94.93552178378744,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-27.152788772607174,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-96.04882671428169,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-191.64992008631566,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-1.3430460850373427,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,0,-53.73695140574847,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-54.265037380729694,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-127.85950687866762,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-96.4378709198889,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-108.44762372805366,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
