trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-138.8115456731486,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,17,-94.71818664307597,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,0,-166.13278978522425,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",30,0,-225.06343521694112,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,0,-111.45319580166966,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",35,0,-215.74441088326893,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-151.82823622197068,"{0: 6, 1: 1, 2: 11, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,2,-48.18507304272191,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",25,5,-74.8359743757862,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",20,0,-111.84642785459879,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-37.95250920892194,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",20,0,-61.38418893102429,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-197.4392879813156,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-108.93529521794954,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-116.83229739660383,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,0,-108.08139575161563,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,-67.45990263935681,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,0,-137.5396771405324,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,16,5.563742006393109,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-46.82616954725371,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-150.30491628536052,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-193.37554658825957,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",35,0,-188.73763561187263,"{0: 18, 1: 4, 2: 11, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-87.68365902815113,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-123.41884754332915,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-138.4229086596689,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-175.85760379891062,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-143.4170352787975,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-128.1587319270425,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-85.45877972732598,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
